NUMFRAMEWORKS,NUMPLATFORM,NUMDATABASE,numberlang,FormalEducation,UndergradMajor,CompanySize,YearsCodingProf,ConvertedSalary,HoursComputer,Gender,RaceEthnicity,Age,SalaryRange
3,6,5,14,3,STEM,3000,10,75000,12,Male,White or of European descent,30,2
3,4,6,7,3,STEM,3000,10,220000,12,Non-Male,Other,40,6
2,2,4,4,3,STEM,300,4,88000,14,Male,White or of European descent,30,3
3,,2,6,3,STEM,750,30,92000,8,,,50,3
,,4,6,3,STEM,3000,4,100000,12,Male,White or of European descent,30,3
1,,2,5,3,STEM,15,4,75000,12,Male,White or of European descent,30,2
1,1,2,6,1,NON-STEM,20000,30,130000,12,Male,White or of European descent,60,4
,2,1,7,3,STEM,20000,10,90000,8,Male,White or of European descent,50,3
2,3,1,6,4,NON-STEM,60,4,82000,12,Male,White or of European descent,40,3
1,1,2,3,1,STEM,15,16,125000,12,Male,White or of European descent,60,4
1,,2,9,4,NON-STEM,60,4,60000,12,Male,White or of European descent,30,2
2,7,6,7,4,STEM,60,4,75000,12,Male,Hispanic or Latino/Latina,30,2
1,4,4,17,1,STEM,60,7,40000,14,Male,White or of European descent,30,1
,2,3,4,1,STEM,300,4,90000,8,Male,White or of European descent,21,3
2,,2,4,4,NON-STEM,300,10,150000,8,Male,White or of European descent,40,4
1,3,1,5,3,NON-STEM,5,7,52000,14,Male,White or of European descent,30,2
1,3,6,5,3,,60,4,71000,12,Male,White or of European descent,40,2
2,4,1,12,3,STEM,750,1,145000,8,Male,White or of European descent,21,4
1,3,2,4,3,STEM,750,7,147000,12,Non-Male,Other,30,4
1,1,2,5,4,STEM,60,19,145000,12,Male,White or of European descent,40,4
3,2,,9,4,STEM,15,10,70000,12,Male,White or of European descent,30,2
2,2,1,11,4,STEM,20000,7,103000,12,Male,Hispanic or Latino/Latina,30,4
,4,2,9,3,STEM,5,7,78000,14,Male,Black or of African descent,40,3
,,2,3,2,STEM,3000,22,117000,8,Male,White or of European descent,40,4
,3,9,3,4,STEM,5,16,175000,12,Male,Other,40,5
1,3,4,9,3,NON-STEM,60,4,90000,12,Male,White or of European descent,30,3
,,4,4,3,,20000,7,65786,12,Male,White or of European descent,30,2
1,,1,2,4,STEM,20000,4,80000,12,Male,Other,30,3
1,3,1,8,3,STEM,15,1,61000,8,Male,White or of European descent,21,2
4,1,3,6,3,STEM,60,4,55000,14,Male,White or of European descent,30,2
,4,1,6,4,STEM,300,13,83000,12,Male,White or of European descent,40,3
6,5,8,12,3,STEM,20000,4,80000,12,Male,White or of European descent,30,3
,1,3,7,3,STEM,60,25,156000,8,Male,White or of European descent,50,5
4,4,3,10,3,NON-STEM,3000,1,63000,12,Non-Male,Hispanic or Latino/Latina,30,2
1,3,5,9,4,NON-STEM,300,10,80000,12,Male,White or of European descent,50,3
2,3,2,5,3,NON-STEM,20000,28,112000,8,Male,White or of European descent,60,4
4,3,6,8,3,STEM,300,1,80000,12,Male,White or of European descent,21,3
2,2,3,9,4,STEM,300,16,135000,12,Male,White or of European descent,40,4
1,2,2,7,3,STEM,750,4,70000,12,Male,,30,2
2,1,3,7,1,STEM,15,7,75000,14,Male,White or of European descent,30,2
,2,1,9,1,,750,1,29120,8,Male,White or of European descent,21,1
,,1,4,2,STEM,750,16,60000,12,Male,White or of European descent,40,2
3,3,3,11,2,STEM,300,7,72737,8,Male,White or of European descent,30,2
,,,3,4,STEM,60,7,92000,8,Male,Other,30,3
2,5,3,3,1,STEM,7500,16,92500,14,Non-Male,White or of European descent,40,3
2,,1,7,4,STEM,20000,16,95000,8,Male,White or of European descent,40,3
,1,2,2,4,NON-STEM,60,7,56000,8,Male,White or of European descent,30,2
1,2,5,6,3,STEM,60,4,76000,12,Male,White or of European descent,21,3
2,6,5,11,1,STEM,60,7,75000,14,Male,White or of European descent,30,2
1,2,1,6,3,STEM,300,4,55000,12,Male,White or of European descent,30,2
,4,4,9,3,STEM,5,4,50000,12,Male,White or of European descent,30,1
,1,1,4,3,,60,4,116000,12,Male,White or of European descent,30,4
1,2,2,11,4,STEM,750,4,46554,12,Male,Other,30,1
1,3,1,6,4,STEM,20000,7,115000,8,Male,White or of European descent,30,4
2,,1,4,2,STEM,20000,7,76000,8,Male,White or of European descent,40,3
1,1,1,6,3,STEM,750,10,113022,12,Male,White or of European descent,40,4
,2,,4,4,STEM,20000,30,147000,12,,,60,4
3,7,7,8,3,STEM,3000,19,97000,14,Male,White or of European descent,40,3
,3,3,11,1,,60,4,47500,12,Male,White or of European descent,30,1
1,1,1,6,3,STEM,300,13,80000,12,Male,White or of European descent,40,3
1,1,1,5,3,STEM,300,13,102000,8,Male,White or of European descent,30,4
3,3,2,12,3,STEM,20000,16,100000,8,Male,White or of European descent,40,3
4,4,,4,4,STEM,3000,16,200000,4,Male,White or of European descent,40,5
3,6,3,7,3,STEM,15,7,54000,12,Male,White or of European descent,30,2
,5,5,6,3,STEM,20000,16,215000,12,Male,White or of European descent,30,6
3,,4,7,3,NON-STEM,3000,13,52000,12,Male,White or of European descent,40,2
1,7,4,9,1,NON-STEM,60,19,100000,12,Male,White or of European descent,50,3
4,4,1,10,3,STEM,300,10,80000,12,Male,White or of European descent,40,3
,2,1,7,4,STEM,20000,4,70000,12,Male,White or of European descent,30,2
2,3,3,7,1,STEM,15,7,57000,8,Male,White or of European descent,30,2
2,7,4,7,1,NON-STEM,300,4,76600,8,Male,White or of European descent,30,3
1,3,5,8,4,NON-STEM,20000,4,100000,8,Male,White or of European descent,30,3
