NUMFRAMEWORKS,NUMPLATFORM,NUMDATABASE,numberlang,FormalEducation,UndergradMajor,CompanySize,YearsCodingProf,ConvertedSalary,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,FrameworkWorkedWith,HoursComputer,Gender,RaceEthnicity,Age,SalaryRange
4,6,5,8,3,STEM,15,7,95000,JavaScript;Python;Ruby;SQL;TypeScript;HTML;CSS;Bash/Shell,MongoDB;Redis;PostgreSQL;Neo4j;Elasticsearch,Amazon Echo;Arduino;AWS;ESP8266;Linux;Raspberry Pi,Angular;Django;Node.js;React,12,Male,,30,3
1,1,,9,4,STEM,20000,10,145000,Assembly;C;C++;Matlab;Objective-C;Python;Visual Basic 6;HTML;Bash/Shell,,Linux,TensorFlow,8,Male,Other,40,4
2,6,3,3,3,STEM,750,19,165000,C#;Groovy;SQL,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc);Elasticsearch",AWS;Azure;Google Cloud Platform/App Engine;Linux;Windows Desktop or Server;WordPress,.NET Core;Node.js,8,Non-Male,White or of European descent,40,5
,3,1,8,3,STEM,7500,30,120000,C;Java;JavaScript;Perl;SQL;HTML;CSS;Bash/Shell,MySQL,Google Cloud Platform/App Engine;Linux;Mac OS,,12,Male,White or of European descent,60,4
3,1,4,7,3,STEM,7500,1,70000,C#;Java;JavaScript;SQL;Swift;HTML;CSS,"SQL Server;IBM Db2;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage",iOS,.NET Core;Node.js;React,8,Male,White or of European descent,21,2
,3,3,6,4,NON-STEM,300,25,165000,C#;PHP;R;SQL;HTML;CSS,SQL Server;MySQL;Oracle,Azure;SharePoint;WordPress,,12,Male,White or of European descent,50,5
,1,1,5,3,STEM,3000,28,90000,JavaScript;SQL;VB.NET;HTML;CSS,SQL Server,Windows Desktop or Server,,8,Male,White or of European descent,50,3
1,,4,2,4,STEM,20000,22,137000,Java;SQL,SQL Server;MySQL;PostgreSQL;MariaDB,,Spring,8,Male,White or of European descent,60,4
1,8,5,15,3,STEM,3000,4,79000,C;CoffeeScript;Java;JavaScript;Perl;PHP;Python;Ruby;SQL;Swift;VBA;VB.NET;Visual Basic 6;HTML;Bash/Shell,MongoDB;Redis;MySQL;PostgreSQL;Amazon DynamoDB,Arduino;AWS;Linux;Mac OS;Raspberry Pi;Salesforce;Serverless;WordPress,Node.js,12,Male,White or of European descent,30,3
1,4,,6,4,STEM,60,19,200000,JavaScript;Python;R;HTML;CSS;Bash/Shell,,AWS;Linux;Mac OS;Windows Desktop or Server,TensorFlow,12,Male,White or of European descent,50,5
,2,3,4,3,STEM,300,16,92000,JavaScript;PHP;SQL;Bash/Shell,MySQL;MariaDB;Amazon RDS/Aurora,AWS;Linux,,12,Male,White or of European descent,40,3
1,5,2,1,3,STEM,300,4,200000,Swift,MongoDB;MySQL,Amazon Echo;Apple Watch or Apple TV;AWS;Heroku;iOS,Node.js,12,Male,White or of European descent,40,5
3,3,5,9,4,,20000,10,140000,C++;C#;Java;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,MongoDB;SQL Server;MySQL;PostgreSQL;MariaDB,AWS;Linux;Windows Desktop or Server,Angular;.NET Core;Node.js,8,Male,White or of European descent,30,4
,2,4,6,4,STEM,750,7,150000,JavaScript;Python;SQL;HTML;CSS;Bash/Shell,Redis;PostgreSQL;Amazon Redshift;Google Cloud Storage,AWS;Linux,,12,Male,White or of European descent,30,4
,,2,3,3,STEM,3000,1,60000,SQL;HTML;CSS,SQL Server;MySQL,,,12,Male,White or of European descent,30,2
,,,,4,STEM,3000,25,105000,,,,,,,,,4
,4,4,6,2,STEM,300,4,112000,PHP;Python;SQL;HTML;CSS;Bash/Shell,MySQL;SQLite;MariaDB;Amazon RDS/Aurora,AWS;Linux;Raspberry Pi;Serverless,,12,Male,White or of European descent,30,4
3,4,5,9,3,STEM,750,13,125000,C++;C#;JavaScript;SQL;Swift;TypeScript;HTML;CSS;Bash/Shell,"MongoDB;Redis;SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc);Elasticsearch",Azure;Heroku;iOS;Windows Desktop or Server,Angular;.NET Core;Node.js,8,Male,White or of European descent,30,4
1,1,3,9,3,STEM,20000,4,47000,C#;Java;JavaScript;Objective-C;PHP;SQL;VBA;HTML;CSS,"MySQL;MariaDB;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Android,Angular,8,,,,1
2,1,1,8,3,NON-STEM,3000,7,54000,C#;JavaScript;Python;SQL;VB.NET;Visual Basic 6;HTML;CSS,SQL Server,Windows Desktop or Server,.NET Core;Node.js,12,Male,White or of European descent,30,2
4,2,4,8,4,STEM,60,30,180000,C;C++;Java;Matlab;Python;R;Scala;Bash/Shell,MongoDB;PostgreSQL;Apache HBase;Google Cloud Storage,AWS;Linux,Hadoop;Spark;Spring;TensorFlow,12,Male,White or of European descent,60,5
,,,4,4,NON-STEM,60,1,48000,JavaScript;R;HTML;CSS,,,,12,Non-Male,White or of European descent,30,1
1,3,2,9,3,STEM,20000,7,100000,C#;Groovy;Java;Python;R;SQL;HTML;CSS;Bash/Shell,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Azure;Linux;Windows Desktop or Server,.NET Core,8,Male,White or of European descent,30,3
,6,3,13,4,STEM,3000,13,145000,C;C++;Go;Java;JavaScript;Julia;Perl;Python;R;SQL;HTML;CSS;Bash/Shell,MySQL;Amazon Redshift;Google Cloud Storage,AWS;Google Cloud Platform/App Engine;Linux;Raspberry Pi;SharePoint;Windows Desktop or Server,,12,Male,White or of European descent,40,4
,1,1,4,2,STEM,15,1,50000,C++;Java;PHP;SQL,SQL Server,Android,,12,Male,Hispanic or Latino/Latina,40,1
2,6,2,7,1,STEM,20000,30,156000,Groovy;Java;Python;SQL;HTML;CSS;Bash/Shell,MySQL;Elasticsearch,Arduino;AWS;ESP8266;Linux;Raspberry Pi;WordPress,Node.js;Spring,14,Male,White or of European descent,50,5
1,3,7,6,,,60,4,125000,Erlang;JavaScript;Python;Ruby;HTML;Bash/Shell,Redis;MySQL;PostgreSQL;MariaDB;Amazon DynamoDB;Amazon Redshift;Elasticsearch,Heroku;Linux;Raspberry Pi,React,12,Male,White or of European descent,30,4
